rule_id,family,description,params
level__boll_w10_k2p0,level,Курс ниже нижней Bollinger band 10/2.0,"{'window': 10, 'width': 2.0}"
level__boll_w20_k1p0,level,Курс ниже нижней Bollinger band 20/1.0,"{'window': 20, 'width': 1.0}"
level__boll_w20_k1p5,level,Курс ниже нижней Bollinger band 20/1.5,"{'window': 20, 'width': 1.5}"
level__boll_w20_k2p0,level,Курс ниже нижней Bollinger band 20/2.0,"{'window': 20, 'width': 2.0}"
level__boll_w60_k1p0,level,Курс ниже нижней Bollinger band 60/1.0,"{'window': 60, 'width': 1.0}"
level__boll_w60_k1p5,level,Курс ниже нижней Bollinger band 60/1.5,"{'window': 60, 'width': 1.5}"
level__boll_w60_k2p0,level,Курс ниже нижней Bollinger band 60/2.0,"{'window': 60, 'width': 2.0}"
momentum__down_streak_2,momentum,Курс снижается не менее 2 публикаций подряд,{'length': 2}
momentum__down_streak_3,momentum,Курс снижается не менее 3 публикаций подряд,{'length': 3}
momentum__down_streak_4,momentum,Курс снижается не менее 4 публикаций подряд,{'length': 4}
momentum__down_streak_5,momentum,Курс снижается не менее 5 публикаций подряд,{'length': 5}
momentum__ret_h1_w60_p10,momentum,Падение за 1 публикаций в нижнем 10% диапазоне,"{'horizon': 1, 'window': 60, 'quantile': 0.1}"
momentum__ret_h1_w60_p20,momentum,Падение за 1 публикаций в нижнем 20% диапазоне,"{'horizon': 1, 'window': 60, 'quantile': 0.2}"
momentum__ret_h1_w120_p10,momentum,Падение за 1 публикаций в нижнем 10% диапазоне,"{'horizon': 1, 'window': 120, 'quantile': 0.1}"
momentum__ret_h1_w120_p20,momentum,Падение за 1 публикаций в нижнем 20% диапазоне,"{'horizon': 1, 'window': 120, 'quantile': 0.2}"
momentum__ret_h3_w60_p10,momentum,Падение за 3 публикаций в нижнем 10% диапазоне,"{'horizon': 3, 'window': 60, 'quantile': 0.1}"
momentum__ret_h3_w60_p20,momentum,Падение за 3 публикаций в нижнем 20% диапазоне,"{'horizon': 3, 'window': 60, 'quantile': 0.2}"
momentum__ret_h3_w120_p10,momentum,Падение за 3 публикаций в нижнем 10% диапазоне,"{'horizon': 3, 'window': 120, 'quantile': 0.1}"
momentum__ret_h3_w120_p20,momentum,Падение за 3 публикаций в нижнем 20% диапазоне,"{'horizon': 3, 'window': 120, 'quantile': 0.2}"
momentum__ret_h5_w60_p10,momentum,Падение за 5 публикаций в нижнем 10% диапазоне,"{'horizon': 5, 'window': 60, 'quantile': 0.1}"
momentum__ret_h5_w60_p20,momentum,Падение за 5 публикаций в нижнем 20% диапазоне,"{'horizon': 5, 'window': 60, 'quantile': 0.2}"
momentum__ret_h5_w120_p10,momentum,Падение за 5 публикаций в нижнем 10% диапазоне,"{'horizon': 5, 'window': 120, 'quantile': 0.1}"
momentum__ret_h5_w120_p20,momentum,Падение за 5 публикаций в нижнем 20% диапазоне,"{'horizon': 5, 'window': 120, 'quantile': 0.2}"
momentum__ret_h10_w60_p10,momentum,Падение за 10 публикаций в нижнем 10% диапазоне,"{'horizon': 10, 'window': 60, 'quantile': 0.1}"
momentum__ret_h10_w60_p20,momentum,Падение за 10 публикаций в нижнем 20% диапазоне,"{'horizon': 10, 'window': 60, 'quantile': 0.2}"
momentum__ret_h10_w120_p10,momentum,Падение за 10 публикаций в нижнем 10% диапазоне,"{'horizon': 10, 'window': 120, 'quantile': 0.1}"
momentum__ret_h10_w120_p20,momentum,Падение за 10 публикаций в нижнем 20% диапазоне,"{'horizon': 10, 'window': 120, 'quantile': 0.2}"
momentum__ret_h20_w60_p10,momentum,Падение за 20 публикаций в нижнем 10% диапазоне,"{'horizon': 20, 'window': 60, 'quantile': 0.1}"
momentum__ret_h20_w60_p20,momentum,Падение за 20 публикаций в нижнем 20% диапазоне,"{'horizon': 20, 'window': 60, 'quantile': 0.2}"
momentum__ret_h20_w120_p10,momentum,Падение за 20 публикаций в нижнем 10% диапазоне,"{'horizon': 20, 'window': 120, 'quantile': 0.1}"
momentum__ret_h20_w120_p20,momentum,Падение за 20 публикаций в нижнем 20% диапазоне,"{'horizon': 20, 'window': 120, 'quantile': 0.2}"
momentum__slope_w5_m0p5,momentum,Нормированный нисходящий тренд за 5 публикаций,"{'window': 5, 'threshold': -0.5}"
momentum__slope_w5_m1p0,momentum,Нормированный нисходящий тренд за 5 публикаций,"{'window': 5, 'threshold': -1.0}"
momentum__slope_w10_m0p5,momentum,Нормированный нисходящий тренд за 10 публикаций,"{'window': 10, 'threshold': -0.5}"
momentum__slope_w10_m1p0,momentum,Нормированный нисходящий тренд за 10 публикаций,"{'window': 10, 'threshold': -1.0}"
momentum__slope_w20_m0p5,momentum,Нормированный нисходящий тренд за 20 публикаций,"{'window': 20, 'threshold': -0.5}"
momentum__slope_w20_m1p0,momentum,Нормированный нисходящий тренд за 20 публикаций,"{'window': 20, 'threshold': -1.0}"
momentum__slope_w60_m0p5,momentum,Нормированный нисходящий тренд за 60 публикаций,"{'window': 60, 'threshold': -0.5}"
momentum__slope_w60_m1p0,momentum,Нормированный нисходящий тренд за 60 публикаций,"{'window': 60, 'threshold': -1.0}"
oversold__rsi_w5_p20,oversold,RSI(5) не выше 20,"{'window': 5, 'threshold': 20}"
oversold__rsi_w5_p30,oversold,RSI(5) не выше 30,"{'window': 5, 'threshold': 30}"
oversold__rsi_w5_p40,oversold,RSI(5) не выше 40,"{'window': 5, 'threshold': 40}"
oversold__rsi_w10_p20,oversold,RSI(10) не выше 20,"{'window': 10, 'threshold': 20}"
oversold__rsi_w10_p30,oversold,RSI(10) не выше 30,"{'window': 10, 'threshold': 30}"
oversold__rsi_w10_p40,oversold,RSI(10) не выше 40,"{'window': 10, 'threshold': 40}"
oversold__rsi_w14_p20,oversold,RSI(14) не выше 20,"{'window': 14, 'threshold': 20}"
oversold__rsi_w14_p30,oversold,RSI(14) не выше 30,"{'window': 14, 'threshold': 30}"
oversold__rsi_w14_p40,oversold,RSI(14) не выше 40,"{'window': 14, 'threshold': 40}"
oversold__rsi_w20_p20,oversold,RSI(20) не выше 20,"{'window': 20, 'threshold': 20}"
oversold__rsi_w20_p30,oversold,RSI(20) не выше 30,"{'window': 20, 'threshold': 30}"
oversold__rsi_w20_p40,oversold,RSI(20) не выше 40,"{'window': 20, 'threshold': 40}"
oversold__stoch_w10_p10,oversold,Stochastic(10) не выше 10%,"{'window': 10, 'threshold': 0.1}"
oversold__stoch_w10_p20,oversold,Stochastic(10) не выше 20%,"{'window': 10, 'threshold': 0.2}"
oversold__stoch_w20_p10,oversold,Stochastic(20) не выше 10%,"{'window': 20, 'threshold': 0.1}"
oversold__stoch_w20_p20,oversold,Stochastic(20) не выше 20%,"{'window': 20, 'threshold': 0.2}"
oversold__stoch_w60_p10,oversold,Stochastic(60) не выше 10%,"{'window': 60, 'threshold': 0.1}"
oversold__stoch_w60_p20,oversold,Stochastic(60) не выше 20%,"{'window': 60, 'threshold': 0.2}"
confirmation__stabilize_h3,confirmation,Курс дешёвый после снижения за 3 публикаций и стабилизировался,{'horizon': 3}
confirmation__stabilize_h5,confirmation,Курс дешёвый после снижения за 5 публикаций и стабилизировался,{'horizon': 5}
confirmation__stabilize_h10,confirmation,Курс дешёвый после снижения за 10 публикаций и стабилизировался,{'horizon': 10}
regime__cheap_calm,regime,Дешёвый курс в режиме волатильности: calm,{'regime': 'calm'}
regime__cheap_normal,regime,Дешёвый курс в режиме волатильности: normal,{'regime': 'normal'}
regime__cheap_volatile,regime,Дешёвый курс в режиме волатильности: volatile,{'regime': 'volatile'}
relative__usd_ret_1_w60_p10,relative,Коридор аномально дешевеет относительно usd_ret_1 за 60 публикаций,"{'context': 'usd_ret_1', 'window': 60, 'quantile': 0.1}"
relative__usd_ret_1_w120_p10,relative,Коридор аномально дешевеет относительно usd_ret_1 за 120 публикаций,"{'context': 'usd_ret_1', 'window': 120, 'quantile': 0.1}"
relative__eur_ret_1_w60_p10,relative,Коридор аномально дешевеет относительно eur_ret_1 за 60 публикаций,"{'context': 'eur_ret_1', 'window': 60, 'quantile': 0.1}"
relative__eur_ret_1_w120_p10,relative,Коридор аномально дешевеет относительно eur_ret_1 за 120 публикаций,"{'context': 'eur_ret_1', 'window': 120, 'quantile': 0.1}"
relative__cny_ret_1_w60_p10,relative,Коридор аномально дешевеет относительно cny_ret_1 за 60 публикаций,"{'context': 'cny_ret_1', 'window': 60, 'quantile': 0.1}"
relative__cny_ret_1_w120_p10,relative,Коридор аномально дешевеет относительно cny_ret_1 за 120 публикаций,"{'context': 'cny_ret_1', 'window': 120, 'quantile': 0.1}"
relative__residual_usd_1_w60_p10,relative,Коридор аномально дешевеет относительно residual_usd_1 за 60 публикаций,"{'context': 'residual_usd_1', 'window': 60, 'quantile': 0.1}"
relative__residual_usd_1_w120_p10,relative,Коридор аномально дешевеет относительно residual_usd_1 за 120 публикаций,"{'context': 'residual_usd_1', 'window': 120, 'quantile': 0.1}"
